EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
555,Medium,HIGH,"Key drivers: below-average work-life balance, low monthly income (financial stress), frequent business travel.",4,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
556,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress), frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
558,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
560,High,CRITICAL,"Key drivers: very poor work-life balance, very poor environment satisfaction, low monthly income (financial stress).",8,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
562,Medium,HIGH,"Key drivers: very poor work-life balance, low monthly income (financial stress).",4,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
564,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
565,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
566,Medium,HIGH,"Key drivers: very poor environment satisfaction, low monthly income (financial stress).",4,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
567,Medium,HIGH,"Key drivers: very low job satisfaction, 7 years without promotion.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
568,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
569,Medium,MODERATE,"Key drivers: poor environment satisfaction, 15 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
571,Medium,HIGH,"Key drivers: below-average work-life balance, low monthly income (financial stress), 6 years without promotion.",4,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments
573,Medium,HIGH,"Key drivers: very low job satisfaction, 13 years without promotion, long tenure with low satisfaction, frequent business travel.",6,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
574,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
575,Medium,HIGH,"Key drivers: very poor work-life balance, very poor environment satisfaction.",4,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
577,Low,WATCH,No critical stress signals detected. Monitor regularly.,1,Discuss career growth pathway and set a promotion timeline
578,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
579,Low,WATCH,"Key drivers: low monthly income (financial stress), 5 years without promotion.",3,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments
580,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
581,Medium,MODERATE,"Key drivers: low job satisfaction, long tenure with low satisfaction.",2,Schedule a manager-employee feedback session | Offer sabbatical leave or role rotation programme
582,Medium,HIGH,"Key drivers: working overtime, poor environment satisfaction, 7 years without promotion.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
584,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
585,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
586,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
587,Medium,MODERATE,"Key drivers: very poor environment satisfaction, frequent business travel.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
